"","CASEID","Being happy when working hard","Cannot wait to leave work at the end of the day","Extra effort to get the job done without reward","Take pride in own work","Being happiest if never had to work again in life","Working drains energy from more important things","Best reward from working - Sense of accomplishment","Admiration for those who work hard","Income - Personal income group (before tax)"
"5532",10799,10,2,10,10,0,8,9,10,4
"5533",10800,10,7,10,7,5,2,9,8,1
"5534",10803,10,2,9,10,0,3,5,10,1
"5535",10804,8,5,3,7,1,2,8,8,5
"5536",10808,9,1,8,10,0,1,10,10,1
"5537",10811,5,7,7,9,2,3,6,6,2
"5538",10817,7,8,10,10,10,2,10,10,2
"5539",10818,10,4,10,10,10,5,10,10,6
"5540",10819,9,4,10,10,3,5,9,9,6
"5541",10822,8,2,9,9,5,5,8,8,4
"5542",10823,10,8,10,10,5,0,10,10,1
"5543",10832,8,8,9,8,0,5,7,10,2
"5544",10833,7,2,9,9,9,3,5,7,1
"5545",10836,10,0,10,10,0,2,8,10,4
"5546",10843,9,8,7,10,0,0,9,10,3
"5547",10846,10,0,10,10,0,0,10,10,2
"5548",10847,7,5,8,10,8,6,8,8,2
"5549",10852,8,4,7,8,2,5,7,5,4
"5550",10856,10,5,10,10,1,10,10,10,1
"5551",10857,10,6,10,8,6,8,8,10,1
"5552",10858,10,9,10,10,8,0,10,10,3
"5553",10859,8,2,8,8,10,5,5,6,5
"5554",10861,10,0,10,10,0,0,10,10,3
"5555",10863,8,2,9,9,2,5,8,8,3
"5556",10865,9,7,9,10,10,4,8,10,2
"5557",10866,10,10,10,10,0,10,10,10,2
"5558",10871,7,9,8,9,5,3,9,9,6
"5559",10875,8,6,8,10,3,4,8,8,5
"5560",10877,8,8,7,10,10,6,7,10,5
"5561",10879,8,6,8,8,10,8,10,10,4
"5562",10881,10,0,10,10,0,0,10,10,4
"5563",10884,10,6,10,10,1,1,10,10,3
"5564",10885,3,1,10,10,1,5,10,10,1
"5565",10886,8,8,9,10,8,8,9,9,2
"5566",10887,8,8,1,8,2,3,8,8,3
"5567",10888,8,6,7,8,10,5,7,10,2
"5568",10889,8,10,8,10,9,3,9,10,3
"5569",10890,6,3,6,5,0,5,8,8,1
"5570",10893,10,7,10,10,0,5,5,10,3
"5571",10894,5,4,10,10,3,2,7,9,2
"5572",10896,10,0,10,10,0,0,10,10,2
"5573",10897,10,4,8,10,2,7,8,10,4
"5574",10900,5,4,5,6,10,5,7,10,2
"5575",10901,10,4,10,9,3,5,9,10,3
"5576",10902,10,5,9,5,10,9,7,10,4
"5577",10903,10,2,10,10,0,1,10,10,3
"5578",10906,10,0,10,10,0,0,10,10,1
"5579",10907,2,0,10,10,0,0,10,10,2
"5580",10908,9,9,10,10,5,7,9,10,3
"5581",10909,10,2,10,10,1,1,9,10,4
"5582",10910,10,9,10,10,5,5,7,8,1
"5583",10914,5,5,9,10,10,5,9,10,3
"5584",10916,8,8,8,9,8,3,9,9,2
"5585",10917,10,6,8,10,0,3,7,10,2
"5586",10918,8,8,10,10,10,5,10,10,2
"5587",10919,10,10,10,10,10,10,10,10,2
"5588",10921,6,1,10,10,0,3,9,9,6
"5589",10923,1,10,8,8,10,10,0,10,4
"5590",10925,7,1,10,10,0,0,10,10,1
"5591",10926,10,0,10,10,0,0,10,10,3
"5592",10928,3,7,10,10,2,4,8,10,2
"5593",10930,10,5,10,10,5,7,10,10,2
"5594",10932,6,1,9,7,3,1,7,9,5
"5595",10935,10,0,5,10,0,0,10,10,4
"5596",10936,10,5,10,10,2,5,10,10,4
"5597",10937,10,8,10,10,5,7,7,10,1
"5598",10938,10,3,10,10,1,2,10,10,2
"5599",10939,10,3,5,9,7,0,3,7,6
"5600",10940,10,3,10,10,4,3,8,10,2
"5601",10942,8,2,8,8,1,3,10,8,6
"5602",10943,8,8,8,8,9,7,7,7,6
"5603",10945,10,8,9,9,3,0,5,8,1
"5604",10948,9,10,7,10,10,8,7,10,3
"5605",10949,8,4,5,10,3,3,7,8,3
"5606",10955,8,5,9,9,5,6,5,8,4
"5607",10956,9,4,7,8,10,5,2,6,3
"5608",10957,8,5,5,10,5,7,9,10,6
"5609",10958,10,10,10,10,10,10,10,10,2
"5610",10960,9,7,9,10,4,5,6,10,3
"5611",10962,10,4,10,10,3,3,10,10,1
"5612",10963,3,7,7,5,5,5,7,10,4
"5613",10966,10,5,10,10,8,8,9,10,3
"5614",10969,8,10,5,0,10,10,0,10,2
"5615",10970,8,4,8,8,10,4,7,8,6
"5616",10972,7,5,7,8,4,3,8,7,2
"5617",10974,9,4,9,9,0,0,10,10,1
"5618",10976,10,4,5,10,5,4,10,10,4
"5619",10977,10,0,8,10,0,5,8,10,3
"5620",10979,8,1,10,10,5,3,8,8,4
"5621",10981,8,5,8,10,8,7,9,9,3
"5622",10982,7,7,7,7,5,5,7,8,1
"5623",10983,8,3,5,8,8,3,3,8,3
"5624",10990,10,3,8,10,2,3,10,10,3
"5625",10992,2,1,1,10,0,0,8,5,5
"5626",10994,9,9,10,10,5,0,6,8,5
"5627",10996,8,10,8,8,4,6,8,8,1
"5628",10997,10,1,9,10,0,0,10,10,5
"5629",11000,3,5,8,8,9,4,7,7,1
"5630",11002,9,3,8,9,2,3,10,10,1
"5631",11004,10,2,10,10,0,5,10,10,2
"5632",11005,9,4,10,10,8,5,10,10,2
"5633",11008,8,1,10,10,1,1,8,10,6
"5634",11009,10,0,10,10,0,0,10,10,3
"5635",11010,8,6,8,10,3,5,8,8,5
"5636",11011,8,3,10,10,4,4,7,10,4
"5637",11014,7,6,6,7,3,7,8,10,4
"5638",11015,8,3,8,9,2,3,7,8,3
"5639",11016,9,4,10,10,5,2,8,10,3
"5640",11017,9,7,8,8,1,6,7,9,2
"5641",11018,10,5,0,10,10,7,10,10,5
"5642",11019,8,10,10,10,10,10,10,10,3
"5643",11020,10,5,10,10,0,0,8,10,4
"5644",11021,8,4,7,9,1,6,7,8,2
"5645",11022,8,8,7,8,5,5,8,8,3
"5646",11023,8,6,8,8,2,4,6,10,2
"5647",11025,7,3,5,10,0,0,9,5,4
"5648",11026,8,7,8,10,8,9,8,5,3
"5649",11028,10,0,7,10,6,0,3,10,6
"5650",11031,8,10,8,10,8,7,8,10,2
"5651",11035,10,10,10,10,10,7,9,10,3
"5652",11038,8,0,9,10,8,5,10,7,1
"5653",11040,7,7,10,8,0,5,10,10,2
"5654",11042,10,5,10,10,1,3,8,10,2
"5655",11043,10,0,10,10,6,0,10,10,1
"5656",11047,5,8,7,6,8,3,7,9,2
"5657",11048,9,8,9,9,2,8,8,10,3
"5658",11050,10,1,9,10,0,5,10,10,4
"5659",11052,10,1,10,10,1,5,10,10,2
"5660",11056,10,5,10,10,5,2,8,10,3
"5661",11059,5,4,10,10,10,6,3,7,2
"5662",11061,10,5,10,10,2,2,10,10,2
"5663",11063,10,10,7,9,3,8,8,8,4
"5664",11064,7,5,7,9,3,4,8,7,3
"5665",11065,8,6,8,5,3,5,7,10,2
"5666",11066,9,9,10,10,10,9,10,10,2
"5667",11067,5,8,8,10,0,6,2,10,3
"5668",11069,10,5,10,10,10,3,10,10,2
"5669",11072,10,7,10,10,7,5,10,8,6
"5670",11076,8,7,9,10,5,5,7,8,3
"5671",11077,10,4,10,10,1,1,10,10,6
"5672",11083,6,2,8,10,2,6,8,9,4
"5673",11084,8,4,8,8,8,5,8,8,5
"5674",11085,10,10,10,10,9,10,10,10,5
"5675",11092,10,8,9,10,10,5,6,8,2
"5676",11093,10,4,8,10,2,6,8,10,1
"5677",11095,8,5,6,10,5,5,9,10,3
"5678",11100,7,7,8,10,0,0,10,7,1
"5679",11101,10,6,10,10,0,0,5,7,2
"5680",11103,9,9,9,9,9,6,6,9,2
"5681",11105,10,4,10,10,4,3,10,10,3
"5682",11108,8,2,9,9,0,3,8,10,2
"5683",11109,10,3,8,8,1,5,8,8,3
"5684",11113,8,2,8,10,1,5,7,8,5
"5685",11115,10,2,10,10,4,1,9,10,3
"5686",11116,8,7,9,10,1,3,7,10,6
"5687",11118,9,4,8,9,10,9,6,8,2
"5688",11120,10,10,10,10,2,5,10,10,2
"5689",11123,9,9,10,10,5,10,8,8,6
"5690",11124,8,8,7,10,10,5,7,10,4
"5691",11125,8,0,10,10,7,4,10,10,2
"5692",11129,7,5,7,8,5,4,7,7,2
"5693",11133,10,7,10,10,7,4,10,10,3
"5694",11138,10,3,8,8,5,9,8,8,2
"5695",11139,7,7,10,10,4,6,9,10,3
"5696",11141,10,2,10,10,1,4,10,10,1
"5697",11142,10,6,7,10,7,5,9,10,2
"5698",11143,7,4,6,9,10,7,7,1,6
"5699",11150,7,7,8,8,8,7,9,10,3
"5700",11154,9,4,9,10,10,7,0,8,4
"5701",11158,10,0,8,10,6,6,10,10,2
"5702",11159,8,5,10,10,2,4,5,10,3
"5703",11161,5,5,2,10,10,7,10,10,2
"5704",11163,7,3,3,10,0,5,10,10,1
"5705",11164,7,5,10,10,7,1,10,10,3
"5706",11168,8,10,10,10,5,10,6,10,3
"5707",11169,9,5,8,10,6,5,5,10,2
"5708",11173,10,10,10,8,0,0,10,10,1
"5709",11174,6,6,6,6,0,4,3,7,3
"5710",11176,0,5,0,10,10,10,10,5,5
"5711",11178,10,3,10,10,1,0,10,10,1
"5712",11181,10,10,10,10,0,0,10,10,2
"5713",11183,8,10,10,10,10,8,10,10,2
"5714",11184,10,5,3,10,6,6,8,10,3
"5715",11185,5,2,10,8,10,5,7,8,3
"5716",11186,10,1,10,10,5,1,10,10,4
"5717",11188,6,3,6,10,0,0,4,7,2
"5718",11190,10,1,10,10,0,1,10,10,3
"5719",11191,7,7,7,9,5,6,6,8,1
"5720",11195,4,8,3,1,10,10,3,5,1
"5721",11198,10,2,8,10,0,0,10,10,2
"5722",11200,8,7,9,10,8,6,7,8,1
"5723",11205,8,8,8,10,8,5,10,10,2
"5724",11208,8,7,10,10,0,0,9,10,5
"5725",11209,8,5,8,5,3,3,6,8,3
"5726",11210,6,8,10,10,9,2,10,10,3
"5727",11211,10,7,10,10,2,7,10,10,1
"5728",11212,7,7,9,9,7,7,7,10,4
"5729",11215,9,7,9,10,0,0,10,10,2
"5730",11216,10,10,7,10,10,7,10,10,1
"5731",11220,8,3,5,8,4,4,9,9,1
"5732",11222,10,0,10,10,0,0,10,10,4
"5733",11224,9,7,8,10,10,2,10,10,5
"5734",11225,8,5,9,10,10,6,6,10,2
"5735",11226,10,1,10,10,5,2,10,10,4
"5736",11227,9,7,8,10,5,4,10,10,3
"5737",11228,9,2,8,9,0,0,2,9,2
"5738",11229,8,5,10,10,6,7,6,8,2
"5739",11230,10,10,0,10,10,5,5,5,2
"5740",11232,7,4,10,8,8,5,6,4,1
"5741",11234,9,5,9,9,8,6,7,10,2
"5742",11235,10,6,10,10,2,0,7,10,2
"5743",11237,8,6,9,10,6,8,7,10,3
"5744",11238,8,8,5,10,5,10,10,10,3
"5745",11240,9,7,8,10,8,8,10,10,2
"5746",11241,9,3,9,10,5,2,9,10,2
"5747",11245,8,8,9,10,10,7,8,10,2
"5748",11249,10,0,9,10,0,2,10,8,3
"5749",11251,5,9,6,8,9,8,7,6,3
"5750",11252,8,9,8,10,5,5,10,10,4
"5751",11254,10,8,10,10,0,8,10,10,2
"5752",11255,10,0,0,10,0,5,5,10,3
"5753",11258,10,5,8,10,0,2,10,10,3
"5754",11264,8,10,8,10,5,2,10,10,4
"5755",11266,10,10,9,10,10,10,7,10,3
"5756",11268,9,5,10,10,1,8,10,10,1
"5757",11269,8,8,10,10,1,1,10,10,2
"5758",11270,8,8,7,10,10,3,10,10,2
"5759",11271,8,10,8,8,10,7,8,8,2
"5760",11272,10,1,10,10,10,2,3,10,2
"5761",11274,10,8,10,10,0,0,10,10,3
"5762",11275,10,10,8,10,2,7,8,10,1
"5763",11276,9,9,10,10,5,7,9,10,2
"5764",11277,6,5,8,10,6,9,5,10,4
"5765",11279,9,5,9,10,8,1,10,10,2
"5766",11283,10,2,8,10,5,0,10,10,4
"5767",11284,8,10,8,8,10,10,8,8,2
"5768",11285,8,8,9,9,10,5,6,7,3
"5769",11286,10,5,9,9,5,2,8,8,3
"5770",11289,5,10,5,10,10,5,10,10,3
"5771",11291,8,8,5,10,5,5,8,8,3
"5772",11295,8,8,8,9,2,5,7,7,6
"5773",11296,10,0,10,10,0,8,10,10,6
"5774",11297,8,0,7,10,10,5,5,10,2
"5775",11298,8,5,8,10,4,3,8,10,1
"5776",11304,8,6,7,8,2,5,8,7,6
"5777",11305,9,2,8,8,3,5,8,9,5
"5778",11308,8,10,7,8,10,8,5,8,5
"5779",11311,5,6,9,10,0,4,10,10,5
"5780",11312,10,10,10,10,10,5,10,10,2
"5781",11313,7,3,10,10,5,5,10,10,6
"5782",11318,8,8,8,8,4,7,8,9,3
"5783",11323,10,7,9,10,0,5,10,10,1
"5784",11324,8,0,7,10,4,4,8,9,4
"5785",11325,9,9,10,10,0,9,10,10,5
"5786",11331,8,5,10,10,10,5,10,10,3
"5787",11332,8,3,7,9,7,2,8,10,2
"5788",11333,8,7,8,9,7,6,9,9,6
"5789",11336,5,8,9,9,5,4,5,9,1
"5790",11340,6,7,9,10,2,8,9,9,4
"5791",11344,8,3,8,9,0,3,8,10,2
"5792",11345,10,7,10,10,0,0,10,10,6
"5793",11347,10,5,10,10,10,0,10,10,2
"5794",11348,10,1,10,10,0,0,10,10,2
"5795",11349,9,4,9,10,0,3,10,9,2
"5796",11353,10,8,9,10,8,9,9,10,2
"5797",11355,5,3,8,8,5,6,6,3,4
"5798",11356,10,8,10,10,8,0,8,10,5
"5799",11359,10,2,10,10,0,0,10,10,1
"5800",11360,7,7,0,10,2,1,10,5,3
"5801",11362,9,9,10,10,0,7,6,10,1
"5802",11364,10,5,10,10,10,4,10,10,2
"5803",11365,10,0,10,10,0,6,10,10,1
"5804",11366,10,8,9,10,1,8,10,10,3
"5805",11369,7,0,10,10,7,6,10,10,2
"5806",11373,8,10,8,10,10,7,10,10,1
"5807",11374,9,5,9,10,8,4,10,8,4
"5808",11377,8,7,8,8,9,5,8,8,4
"5809",11378,5,5,8,10,0,1,8,10,3
"5810",11384,9,6,8,9,1,4,8,9,3
"5811",11386,7,0,3,8,5,5,5,10,1
"5812",11387,7,5,10,10,0,1,10,10,2
"5813",11390,9,5,7,10,1,1,9,10,1
"5814",11391,5,10,8,10,8,8,5,8,5
"5815",11392,9,3,9,10,1,5,8,9,2
"5816",11393,7,10,5,10,10,5,10,10,1
"5817",11394,10,4,10,10,0,2,10,10,6
"5818",11396,8,6,8,10,7,3,9,9,3
"5819",11399,10,8,7,10,3,4,10,10,3
"5820",11402,10,6,10,10,3,4,10,10,5
"5821",11403,10,3,10,10,10,2,8,9,5
"5822",11405,6,5,9,10,5,6,8,9,2
"5823",11406,8,3,8,10,1,2,9,8,1
"5824",11407,9,7,9,10,2,0,5,9,2
"5825",11408,10,0,8,10,0,0,10,10,2
"5826",11409,9,7,9,9,7,7,9,9,3
"5827",11414,7,7,8,10,3,6,8,8,4
"5828",11415,7,10,6,8,5,9,4,9,1
"5829",11416,8,3,8,9,3,2,7,9,5
"5830",11419,7,6,10,10,0,5,8,9,2
"5831",11421,10,10,8,10,10,8,10,10,5
"5832",11422,7,10,5,10,5,7,8,6,3
"5833",11424,10,5,10,10,0,2,10,10,2
"5834",11425,9,4,9,9,6,5,9,9,4
"5835",11426,10,10,10,10,5,2,10,10,4
"5836",11427,10,6,10,10,4,5,8,8,6
"5837",11430,10,0,10,10,0,0,10,10,3
"5838",11431,9,8,9,10,3,7,9,9,3
"5839",11434,8,7,7,8,8,9,5,10,3
"5840",11436,9,4,7,9,10,5,9,9,5
"5841",11438,10,2,10,10,0,2,9,10,3
"5842",11440,10,2,10,10,3,3,10,10,3
"5843",11441,10,5,3,10,3,6,4,7,2
"5844",11442,8,4,10,10,3,2,10,10,3
"5845",11444,10,5,10,10,5,9,10,10,4
"5846",11448,10,6,10,10,5,7,10,10,2
"5847",11450,8,5,8,10,5,5,7,8,2
"5848",11451,10,5,10,10,7,6,10,10,3
"5849",11453,8,5,10,10,10,6,7,8,2
"5850",11454,8,8,9,10,5,5,8,9,1
"5851",11455,10,10,10,10,5,8,10,10,2
"5852",11458,10,8,10,10,5,0,10,10,2
"5853",11461,10,2,10,10,5,7,10,9,1
"5854",11466,10,3,10,10,1,1,10,10,3
"5855",11467,9,5,10,10,1,2,9,10,2
"5856",11469,8,5,10,10,5,8,8,9,2
"5857",11473,10,10,7,10,8,5,6,10,6
"5858",11476,10,10,9,10,1,7,5,10,1
"5859",11477,10,0,10,10,10,0,10,10,3
"5860",11478,6,10,6,8,3,5,7,7,1
"5861",11483,10,7,10,10,4,6,9,10,6
"5862",11484,8,4,10,10,2,3,9,9,1
"5863",11485,9,7,9,10,3,1,7,10,3
"5864",11487,8,0,5,10,0,5,10,10,2
"5865",11491,7,5,10,10,4,4,7,10,3
"5866",11492,10,5,10,10,10,5,10,10,2
"5867",11495,5,8,6,5,6,7,5,7,4
"5868",11496,8,10,8,10,5,5,8,8,2
"5869",11498,9,5,7,9,3,7,6,8,3
"5870",11507,8,0,10,10,3,6,10,10,1
"5871",11508,7,6,6,8,3,6,8,4,6
"5872",11509,5,5,7,8,10,5,7,7,3
"5873",11511,7,8,10,10,0,0,10,10,4
"5874",11514,10,8,9,10,7,4,10,10,3
"5875",11516,9,10,5,6,10,5,4,10,4
"5876",11518,10,4,10,10,0,0,10,10,2
"5877",11520,10,7,8,9,1,5,7,9,6
"5878",11521,10,5,10,10,0,6,10,10,2
"5879",11528,10,10,10,10,10,0,5,10,1
"5880",11530,10,6,10,10,0,3,10,10,3
"5881",11531,10,8,9,10,2,5,8,10,1
"5882",11535,10,2,10,10,0,2,10,10,3
"5883",11536,8,3,8,8,10,5,8,8,2
"5884",11537,7,7,7,8,8,8,9,8,2
"5885",11538,5,5,10,10,0,3,10,10,2
"5886",11540,10,0,9,10,0,0,10,10,3
"5887",11542,8,10,10,10,8,6,8,10,2
"5888",11545,10,8,9,9,3,7,8,8,4
"5889",11547,8,4,7,9,5,6,6,9,2
"5890",11551,10,10,10,10,10,9,10,10,6
"5891",11552,8,6,8,8,10,6,8,8,3
"5892",11553,8,8,8,8,10,5,5,8,2
"5893",11555,10,0,10,10,9,9,10,10,3
"5894",11559,8,6,9,9,0,7,7,8,6
"5895",11564,9,0,10,10,0,0,9,10,1
"5896",11565,6,8,7,8,8,8,7,5,4
"5897",11567,5,10,6,8,10,10,5,10,5
"5898",11568,10,3,8,10,0,2,7,10,5
"5899",11570,9,3,7,9,8,9,7,9,1
"5900",11571,8,4,8,8,1,2,7,9,1
"5901",11574,8,9,7,8,9,8,6,7,3
"5902",11575,10,0,6,10,3,5,10,10,5
"5903",11576,5,8,10,10,7,8,10,10,1
"5904",11578,8,3,8,10,5,2,7,8,1
"5905",11579,8,4,8,10,5,5,5,7,4
"5906",11581,7,7,9,10,4,5,8,9,4
"5907",11582,8,5,10,10,3,2,10,10,3
"5908",11583,10,0,10,10,7,0,8,10,2
"5909",11586,5,10,10,10,5,5,9,10,3
"5910",11587,8,2,10,10,3,3,8,10,5
"5911",11590,8,5,8,8,5,5,8,8,1
"5912",11591,7,10,5,6,10,6,6,10,1
"5913",11593,7,7,2,9,0,5,7,8,1
"5914",11595,5,5,7,8,2,7,6,7,4
"5915",11596,10,5,10,10,0,0,10,10,2
"5916",11597,10,0,10,10,0,0,10,10,6
"5917",11598,7,6,7,9,5,2,5,8,2
"5918",11601,8,10,8,8,8,10,1,8,6
"5919",11602,8,5,4,10,6,5,8,8,2
"5920",11604,7,1,10,10,5,5,10,10,2
"5921",11605,10,5,7,10,3,2,10,10,4
"5922",11606,5,8,9,10,5,8,10,10,4
"5923",11610,7,4,10,10,0,4,7,10,3
"5924",11613,7,10,7,10,5,7,8,10,1
"5925",11614,7,5,8,7,3,5,10,9,3
"5926",11615,10,0,10,10,0,5,10,10,2
"5927",11617,9,1,8,9,0,2,8,9,3
"5928",11618,8,2,9,10,0,2,7,9,2
"5929",11619,5,8,10,10,0,5,8,8,4
"5930",11620,7,10,10,8,10,10,8,10,6
"5931",11621,10,5,10,10,2,3,5,10,6
"5932",11622,8,7,7,9,4,6,6,8,2
"5933",11623,8,2,8,8,3,3,8,8,4
"5934",11625,5,4,7,9,2,1,2,5,1
"5935",11630,6,3,8,9,6,2,6,6,6
"5936",11632,7,0,9,10,2,2,10,9,1
"5937",11634,10,4,10,10,0,2,9,10,1
"5938",11635,8,4,8,10,2,5,8,7,3
"5939",11640,8,8,8,9,10,5,6,6,2
"5940",11642,7,5,0,8,4,1,8,5,2
"5941",11644,8,7,10,10,0,2,9,10,3
"5942",11648,10,10,10,10,10,10,10,10,3
"5943",11659,10,8,4,10,7,7,8,7,1
"5944",11660,10,2,10,10,3,5,10,10,4
"5945",11661,9,5,5,8,4,10,9,10,1
"5946",11663,9,10,9,10,2,7,10,9,6
"5947",11666,6,4,8,9,0,0,9,9,2
"5948",11669,8,9,8,9,10,6,9,8,1
"5949",11674,7,5,8,10,2,5,8,9,3
"5950",11675,9,4,10,10,2,5,10,10,3
"5951",11676,5,5,8,8,10,5,4,5,4
"5952",11677,9,9,10,10,0,0,10,10,2
"5953",11679,7,9,8,7,5,8,6,9,6
"5954",11680,10,3,10,10,0,0,10,10,2
"5955",11681,8,6,7,9,10,8,6,7,4
"5956",11682,10,1,7,10,6,4,10,10,5
"5957",11685,8,3,8,10,10,8,10,10,4
"5958",11689,8,8,7,9,10,5,10,8,4
"5959",11693,9,5,10,10,5,5,9,9,2
"5960",11696,8,8,8,8,8,8,8,8,2
"5961",11697,10,10,10,10,10,6,10,10,2
"5962",11698,7,7,3,3,0,1,8,9,1
"5963",11700,7,8,8,10,10,4,8,9,3
"5964",11701,5,2,8,10,2,2,8,5,1
"5965",11703,9,7,10,10,5,4,10,10,1
"5966",11704,6,1,8,10,10,5,8,8,4
"5967",11705,7,4,8,8,2,6,8,9,3
"5968",11708,8,5,8,9,5,5,8,8,3
"5969",11709,8,7,5,8,7,7,7,7,2
"5970",11710,10,2,10,10,6,0,10,10,2
"5971",11711,10,5,10,10,5,5,10,10,2
"5972",11713,10,7,10,10,0,7,9,10,2
"5973",11716,3,0,10,10,0,0,10,4,1
"5974",11717,10,2,10,10,2,3,10,10,5
"5975",11718,10,0,10,10,0,0,10,10,3
"5976",11719,10,4,10,10,6,6,10,10,4
"5977",11722,9,5,10,10,7,7,9,10,3
"5978",11724,5,7,4,8,5,5,6,6,4
"5979",11731,10,0,10,10,0,0,10,10,2
"5980",11732,8,3,10,10,1,4,6,9,3
"5981",11734,10,3,10,10,1,7,10,10,5
"5982",11740,10,10,10,10,3,3,10,10,5
"5983",11743,8,5,8,8,3,2,8,8,5
"5984",11744,9,5,10,10,3,5,10,10,4
"5985",11745,9,6,10,10,5,7,8,10,3
"5986",11746,9,6,9,10,8,6,10,10,1
"5987",11753,5,7,9,7,0,0,10,10,2
"5988",11755,10,10,10,10,10,10,0,10,5
"5989",11756,7,0,6,10,0,0,8,10,6
"5990",11757,8,6,6,10,0,3,6,10,1
"5991",11758,10,5,10,10,0,7,10,10,3
"5992",11760,7,3,5,9,3,3,7,7,3
"5993",11764,5,5,7,8,3,4,7,8,3
"5994",11766,10,10,10,10,10,10,9,10,3
"5995",11767,9,8,10,10,0,10,10,10,2
"5996",11769,10,5,8,10,3,6,8,9,3
"5997",11773,5,10,5,10,5,5,5,5,3
"5998",11774,10,4,10,10,5,1,10,10,2
"5999",11775,10,7,10,10,8,1,7,8,4
"6000",11780,8,6,6,6,5,6,7,9,2
"6001",11781,7,2,9,9,5,2,8,9,1
"6002",11783,10,3,8,10,3,5,8,9,5
"6003",11786,9,4,10,10,0,2,8,10,5
"6004",11787,5,5,10,8,3,3,4,7,1
"6005",11788,8,0,10,10,10,4,10,10,1
"6006",11795,10,10,10,10,0,0,10,10,2
"6007",11798,10,4,8,10,2,2,10,10,4
"6008",11799,10,2,10,10,0,0,8,10,3
"6009",11800,10,7,8,8,10,7,10,10,3
"6010",11801,10,7,10,10,0,0,8,8,2
"6011",11802,7,5,8,10,5,2,7,9,3
"6012",11803,7,5,10,10,5,5,9,3,4
"6013",11806,8,0,8,10,2,7,7,8,4
"6014",11809,9,6,10,10,9,7,10,10,2
"6015",11812,10,5,9,10,1,2,10,10,2
"6016",11814,10,9,10,10,1,0,10,10,4
"6017",11815,8,8,8,8,10,5,8,8,4
"6018",11820,7,0,9,10,0,5,9,10,2
"6019",11821,8,4,10,10,0,0,8,10,2
"6020",11823,10,7,10,10,0,0,10,10,1
"6021",11825,8,8,5,9,8,5,4,7,3
"6022",11826,8,8,10,10,5,1,8,10,1
"6023",11827,7,4,8,8,3,3,3,7,3
"6024",11829,8,5,8,9,5,5,8,8,2
"6025",11830,8,8,8,8,8,8,8,8,2
"6026",11832,9,5,7,10,4,2,2,9,1
"6027",11833,7,5,5,9,8,7,7,7,2
"6028",11835,9,0,0,10,10,0,10,10,3
"6029",11840,9,5,9,10,6,8,6,9,3
"6030",11841,7,0,7,8,0,0,9,9,4
"6031",11842,10,0,10,10,0,0,10,10,4
"6032",11843,9,10,10,5,5,7,10,10,1
"6033",11844,10,10,5,10,10,5,0,10,3
"6034",11845,8,9,9,10,10,9,9,9,2
"6035",11846,8,2,7,10,10,10,7,7,3
"6036",11847,7,10,9,10,9,5,9,10,2
"6037",11851,5,5,0,10,0,0,10,10,2
"6038",11852,10,7,7,10,7,5,8,10,3
"6039",11854,5,5,5,5,0,3,7,5,2
"6040",11860,10,10,10,10,10,8,8,10,5
"6041",11861,8,5,9,10,1,1,10,10,1
"6042",11863,7,0,7,10,7,0,10,10,3
"6043",11865,10,1,10,9,0,8,9,10,2
"6044",11867,10,3,10,10,4,2,10,10,4
"6045",11868,8,3,10,10,0,2,10,9,3
"6046",11871,9,3,8,10,10,2,7,10,2
"6047",11872,9,1,10,10,1,1,8,9,4
"6048",11875,10,7,9,9,10,3,9,10,1
"6049",11876,9,10,10,10,10,5,10,10,1
"6050",11877,10,6,9,10,6,6,10,8,3
"6051",11878,9,5,8,10,10,6,9,9,3
"6052",11880,6,10,7,6,10,6,8,5,6
"6053",11881,2,3,8,7,0,0,6,6,1
"6054",11882,8,5,8,8,6,5,8,10,2
"6055",11883,10,5,9,10,2,7,10,10,4
"6056",11884,10,5,10,10,10,0,10,10,5
"6057",11885,10,10,10,10,0,10,10,10,5
"6058",11886,7,7,8,8,10,5,1,2,4
"6059",11889,8,5,10,10,5,5,5,10,2
"6060",11890,7,3,7,9,3,4,9,10,2
"6061",11891,5,5,5,5,5,5,5,5,1
"6062",11897,10,7,10,10,1,2,9,9,4
"6063",11900,9,10,10,9,8,5,6,10,1
"6064",11903,5,10,5,10,10,0,10,10,4
"6065",11904,0,5,10,10,7,5,7,5,4
"6066",11905,9,5,10,10,8,2,10,10,2
"6067",11909,5,4,10,10,10,5,5,10,2
"6068",11912,8,8,8,8,5,5,8,8,4
"6069",11913,7,0,10,10,1,3,8,8,3
"6070",11915,9,7,10,10,10,5,9,10,5
"6071",11916,10,10,6,5,0,10,8,8,2
"6072",11920,8,5,10,10,2,6,7,10,6
"6073",11921,8,2,10,10,0,6,8,10,3
"6074",11922,8,5,3,10,7,4,7,6,3
"6075",11924,9,0,10,10,0,1,10,10,2
"6076",11929,10,5,10,10,5,5,10,10,2
"6077",11931,5,10,10,10,0,4,4,10,1
"6078",11933,9,7,10,10,8,7,10,10,4
"6079",11934,8,0,8,10,5,0,5,8,6
"6080",11936,7,7,8,8,5,5,9,9,1
"6081",11938,6,7,6,7,10,5,5,7,2
"6082",11939,5,8,7,8,3,0,7,7,3
"6083",11940,7,7,10,10,4,8,8,8,4
"6084",11941,10,10,10,10,0,10,10,10,1
"6085",11944,8,5,5,10,0,0,10,10,1
"6086",11948,8,6,6,9,4,1,6,8,5
